Reviews,Ratings
"
  Bakwas phone
",1.0 out of 5 stars
"
  Few issues are resolved that are mention below..but still this mobile hasn't the charm of OnePlus..",3.0 out of 5 stars
"
  The best part of the phone is it's super simple and user friendly operating system. Camera doesn't oversaturate colours and captures decent photos. Battery charging is super fast. People argue that this is overpriced in this segment but I guess ease of using the phone and mainly the OS wouldn't be so good in other comparable phones. It is super light and handy. Cheers
",5.0 out of 5 stars
"
  Phone looks good but features are 10k phone",1.0 out of 5 stars
"
  Performance is really good - no lags at all",5.0 out of 5 stars
"
  My first impression was overwhelming as it was a major upgrade from my last phone. It's a piece of art, the glass body and the amoled display makes feel.. Terrific.. 😅 One thing to take extra care is the camera portion which is placed Protruding at the back . The case is of average quality. The phone is butter smooth 🤤 It's just been a few hours so hoping for the best 🤞
",5.0 out of 5 stars
"
  Awesome phone, amazing camera, better than nord, charcoal colour is looking premium, best option under 25k. Go for it.
",5.0 out of 5 stars
"
  Awesome phone in this price.....",5.0 out of 5 stars
"
  So far, so good. While the omission of the alert slider is baffling, everything else seems good for the price. Oxygen OS and good service of OnePlus is the saving grace, else there are better specifications out there. Buy it if software performance is your number 1 priority. Else you can get better phones from Redmi, iQoo or others.
",5.0 out of 5 stars
"
  Great phone
",5.0 out of 5 stars
"
  23 jun-Update after using almost 4 days,",1.0 out of 5 stars
"
  Pros -",5.0 out of 5 stars
"
  Worst mobile, dont waste your hard earn money on this pathetic device..
",1.0 out of 5 stars
"
  First of all thanks to Amazon to deliver my phone so fast and in very good condition.",5.0 out of 5 stars
"
  I have one plus six purchase in 2018. It was working fine with no issue. I always have interest on 5 G phone and this was purchase during Amazon sell. The delivery was smooth in one day. The phone has transparent cover no need to purchase any cover. The wireless data , apps, contact transfer between two android phone is so smooth , one should always try while setting the new phone ( both phone should have wifi / SIM card. The phone is much lighter , fingerprint sensor working smooth, fast browsing,  the two specific feature I want to mention , one is battery back up ( more than one day ) and another is excellent picture quality which are the main attraction. I am having I phone 11, but the picture quality is far superior. The discount I received from HDFC as well as Amazon. You may try if you want a change of handset .The photo was taken today at 6.45 PM in cloudy sky and low light . You can see the quality and judge
",5.0 out of 5 stars
"
  The smoothest phone I have used so far. I have used it for 2 days and I don't have any complaints on it so far.  I had used One Plus 2 for almost 5 and half years and then switched to Samsung phone, but I didn't like it. Was looking for a phone in a mid budget range, this is the best.
",5.0 out of 5 stars
"
  Waste of money, phone heats like a volcano. Will suggest all to go for other brands. Camera is also not good.
",1.0 out of 5 stars
"
  Wonderful mobile ever, Great Experience Ahead.
",5.0 out of 5 stars
"
  Best phone this price.
",5.0 out of 5 stars
"
   A decent phone with an awesome Display ( Colors look vibrant and cool) .",5.0 out of 5 stars
"
  Camera quality not good
",2.0 out of 5 stars
"
  Pros:",5.0 out of 5 stars
"
  Go for it... Take my word.. nothing better at this price
",5.0 out of 5 stars
"
  I definitely liked this phone. Camera quality is amazing. Touch is good, good processing speed.",5.0 out of 5 stars
"
  I am using this product since last few days and found below observation-",1.0 out of 5 stars
"
  Excellent mobile from one plus  best price also for new one plus users. Finger print is quick and battery life is ok. Camera is good.
",5.0 out of 5 stars
